Link zu *.txt,YouTube Ads Blocklist (Wichtig: Ads in Videos werden NICHT geblockt\. technisch derzeit nicht machbar), https://raw.githubusercontent.com/anudeepND/youtubeadsblacklist/master/domainlist.txt,Schamanimani
Link zu *.txt,Gigantische Liste mit über 3 Mio.(!!!) Blockingeinträgen,  https://raw.githubusercontent.com/deathbybandaid/piholeparser/master/Subscribable-Lists/CombinedBlacklists/CombinedBlackLists.txt,Schamanimani,
Link zu *.txt,Energized Blocklist,https://block.energized.pro/unified/formats/hosts.txt,Schamanimani,
Link zu *.txt,Cryptomine,https://raw.githubusercontent.com/Akamaru/Pi-Hole-Lists/master/cryptomine.txt,Error.,
Link zu *.txt,Tracking Blocker,https://raw.githubusercontent.com/Perflyst/PiHoleBlocklist/master/android-tracking.txt,Error.,
Link zu *.txt,GoogleByeAds (Google Werbung),https://raw.githubusercontent.com/jerryn70/GoodbyeAds/master/Hosts/GoodbyeAds.txt,Error.,
Link zu *.txt,NoTracking List,https://raw.githubusercontent.com/notracking/hosts-blocklists/master/hostnames.txt,Error.,
Link zu *.txt,NoTracking List,https://raw.githubusercontent.com/notracking/hosts-blocklists/master/hostnames.txt,Error.,
Link zu *.txt,Block EU Cookie Alerts,https://raw.githubusercontent.com/deathbybandaid/piholeparser/master/Subscribable-Lists/ParsedBlacklists/Block-EU-Cookie-Shit-List.txt,Error.,
Link zu *.txt,Simple Ad Blocker,https://s3.amazonaws.com/lists.disconnect.me/simple_ad.txt,Error.,
Link zu *.txt,Simple Malvertising (blockt Malware Seiten),https://s3.amazonaws.com/lists.disconnect.me/simple_malvertising.txt,Error.,
Link zu *.txt,oisd.nl (sehr grosse Blockliste),https://dbl.oisd.nl/,Error.,
Link zu *.txt,Diverse Ad Servers,https://hosts-file.net/ad_servers.txt,Error.,
Link zu Sammlung,1. Grosse Blocklist-Listensammlung,https://firebog.net,Bonsi,
Link zu Sammlung,2. Grosse Listensammlung,https://github.com/AdAway/AdAway/wiki/HostsSources,Ali,
Link zu Sammlung,Sammlung von hBlock,https://hblock.molinero.dev/,Ali,
Link zu Sammlung,Weitere Sammlung von hBlock auf GitHub (weiter unten die URL's),https://github.com/hectorm/hblock,Ali,
Regex,Regex Vorschläge von Error.,^(.+[_.-])?ad[sxv]?[0-9]*[_.-] <br>^(.+[_.-])?adse?rv(er?|ice)?s?[0-9]*[_.-]<br>^(.+[_.-])?telemetry[_.-]<br>^(www[0-9]*\.)?xn--<br>^adim(age|g)s?[0-9]*[_.-]<br>
^adtrack(er|ing)?[0-9]*[_.-]<br>^advert(s|is(ing|ements?))?[0-9]*[_.-]<br>^aff(iliat(es?|ion))?[_.-]<br>^analytics?[_.-]<br>^banners?[_.-]<br>^beacons?[0-9]*[_.-]<br>^count(ers?)?[0-9]*[_.-]<br>
^mads\.^pixels?[-.]<br>^track(ers?|ing)?[0-9]*[_.-],Error.,
